,country,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag,children_per_woman_total_fertility_imp,corruption_perception_index_cpi_imp,vccin_effect_dag_imp
102,Paraguay,2.51,22.2,0.905,27.0,75.8,0.08989521282454624,2.51,27.0,0.044000000000000004
78,Malaysia,2.06,8.0,7.71,50.0,74.6,0.08790771649071126,2.06,50.0,0.0
48,Ghana,4.04,54.7,0.579,47.0,64.4,0.084,4.04,47.0,0.084
43,France,1.98,4.1,5.3,70.0,82.5,0.17300000000000001,1.98,70.0,0.17300000000000001
29,Costa Rica,1.948875156423591,9.05,1.51,55.0,79.9,0.09035968011819961,1.5,55.0,0.08
23,Chile,1.9316546374208412,7.89,4.55,70.0,79.6,0.07933947330354728,2.58,70.0,0.051
44,Gabon,3.85,51.0,2.69,34.0,67.0,0.08337268435572832,3.85,34.0,0.08
34,Denmark,1.756381512375092,4.22,6.19,91.0,80.9,0.042,3.85,91.0,0.042
71,Lebanon,2.045853528873666,8.3,3.69,28.0,77.8,0.08,3.03,28.0,0.08
128,Turkey,2.07,12.6,4.86,42.0,78.3,0.083,2.07,42.0,0.083
113,Sierra Leone,4.56,122.0,0.126,29.0,58.5,0.07974737139948726,4.56,29.0,0.14300000000000002
62,Italy,1.46,3.43,5.88,44.0,82.6,0.177,1.46,44.0,0.177
89,Myanmar,2.23,51.6,0.42100000000000004,22.0,67.8,0.09661027337745136,2.23,22.0,0.067
60,Ireland,1.99,3.83,8.27,75.0,81.6,0.062,1.99,75.0,0.062
106,Portugal,1.25,3.66,5.04,64.0,81.5,0.044000000000000004,1.25,64.0,0.044000000000000004
49,Greece,1.31,4.58,7.04,46.0,80.8,0.16899999999999998,1.31,46.0,0.16899999999999998
92,Netherlands,1.7636705419728673,4.03,9.83,84.0,81.5,0.067,1.51,84.0,0.067
73,Libya,2.31,13.3,8.79,16.0,73.1,0.0905223733594521,2.31,16.0,0.084
98,Norway,1.7068849173300977,2.72,8.72,88.0,82.3,0.08036856583566443,1.31,88.0,0.059000000000000004
3,Argentina,2.31,11.5,4.64,32.0,76.5,0.013000000000000001,2.31,32.0,0.013000000000000001
21,Canada,1.59,5.28,16.0,83.0,81.7,0.105,1.59,83.0,0.105
99,Pakistan,3.55,76.0,0.9259999999999999,30.0,66.0,0.126,3.55,30.0,0.126
132,United Arab Emirates,2.0599938798302864,7.83,20.7,70.0,73.1,0.07522103399120378,2.31,70.0,0.064
12,Bolivia,2.92,30.8,1.81,34.0,72.2,0.08793018047069083,2.92,34.0,0.126
8,Bangladesh,2.13,36.1,0.467,25.0,72.5,0.051,2.13,25.0,0.051
123,Tajikistan,3.4,37.9,0.574,26.0,70.2,0.08768718998145465,3.4,26.0,0.096
19,Cambodia,2.59,32.0,0.545,21.0,69.3,0.09548546951399324,2.59,21.0,0.113
26,Comoros,4.45,74.9,0.217,26.0,68.0,0.07795342434389906,4.45,26.0,0.051
68,Kyrgyz Republic,3.05,22.3,1.73,28.0,71.9,0.08937736441615673,3.05,28.0,0.26
32,Cyprus,1.35,2.74,5.99,61.0,81.5,0.08645226594125288,1.35,61.0,0.26
53,Honduras,2.51,19.5,1.08,31.0,72.1,0.09329442847182673,2.51,31.0,0.064
104,Philippines,2.96,30.1,1.12,35.0,69.2,0.022000000000000002,2.96,35.0,0.022000000000000002
33,Czech Republic,1.52,3.15,9.89,56.0,78.8,0.073,1.52,56.0,0.073
134,United States,1.93,6.8,16.9,76.0,78.8,0.096,1.93,76.0,0.096
56,India,2.35,43.6,1.76,38.0,68.4,0.078,2.35,38.0,0.078
61,Israel,3.0,3.92,8.15,61.0,82.6,0.0,3.0,61.0,0.0
95,Niger,7.29,94.3,0.10099999999999999,34.0,61.3,0.06195767457049178,7.29,34.0,0.14300000000000002
11,Benin,5.05,99.9,0.555,37.0,63.5,0.07324090825378403,5.05,37.0,0.083
129,Turkmenistan,2.93,50.7,12.6,18.0,69.8,0.08124850224334816,2.93,18.0,0.07
39,Estonia,1.8174480648570652,3.18,12.1,70.0,77.7,0.07696379022614774,2.45,70.0,0.064
28,"Congo, Rep.",3.6813137987181888,54.9,0.649,23.0,62.2,0.10634985760496969,1.49,23.0,0.066
121,Sweden,1.91,2.87,4.41,89.0,82.2,0.059000000000000004,1.91,89.0,0.059000000000000004
52,Haiti,2.97,70.6,0.272,17.0,64.0,0.09353337092644778,2.97,17.0,0.051
107,Romania,1.51,9.21,3.91,46.0,75.1,0.156,1.51,46.0,0.156
105,Poland,1.31,4.86,8.22,63.0,77.5,0.10300000000000001,1.31,63.0,0.10300000000000001
118,South Korea,1.28,3.5,11.7,54.0,82.3,0.064,1.28,54.0,0.064
27,"Congo, Dem. Rep.",6.17,97.4,0.0367,22.0,61.3,0.08800000000000001,6.17,22.0,0.08800000000000001
133,United Kingdom,1.7543151397000694,4.45,6.42,81.0,81.0,0.07,1.25,81.0,0.07
58,Iran,2.3482127099674757,16.0,8.17,27.0,76.5,0.084,6.15,27.0,0.084
79,Mali,6.15,109.0,0.17800000000000002,35.0,61.1,0.0675397914844319,6.15,35.0,0.051
114,Singapore,1.24,2.72,11.0,85.0,84.4,0.0773912843989982,1.24,85.0,0.043
88,Mozambique,5.31,81.8,0.233,31.0,56.2,0.08228819789693517,5.31,31.0,0.051
67,Kuwait,1.99,8.56,24.1,49.0,82.9,0.06762944741426821,1.99,49.0,0.052000000000000005
72,Liberia,4.525723845188905,78.9,0.27,37.0,62.0,0.0950009906436611,2.49,37.0,0.022000000000000002
74,Lithuania,1.7330050136673527,4.9,4.48,59.0,74.7,0.07712208066252171,3.92,59.0,0.133
0,Afghanistan,4.269060114060942,70.4,0.262,11.0,61.2,0.057999999999999996,5.05,11.0,0.057999999999999996
116,Slovenia,1.602044775249405,2.48,6.58,60.0,80.8,0.16399999999999998,1.35,60.0,0.16399999999999998
25,Colombia,2.2842116280656453,15.7,1.96,37.0,80.0,0.059000000000000004,3.14,37.0,0.059000000000000004
127,Tunisia,2.22,17.2,2.62,38.0,77.9,0.043,2.22,38.0,0.043
120,Sri Lanka,2.06,8.75,0.9490000000000001,37.0,76.9,0.09237396921981089,2.06,37.0,0.126
9,Belarus,1.9258130188536933,4.03,6.29,32.0,73.8,0.0897802643876659,2.49,32.0,0.073
40,Eswatini,3.14,62.9,0.89,14.625690349437221,55.8,0.094324517155956,3.14,70.0,0.16399999999999998
50,Guatemala,3.03,29.0,0.95,28.0,72.9,0.08818142710903042,3.03,28.0,0.051
57,Indonesia,2.39,28.0,1.96,36.0,71.0,0.07,2.39,36.0,0.07
13,Bosnia and Herzegovina,1.35,6.14,5.39,38.0,76.4,0.26,1.35,38.0,0.26
125,Thailand,1.5,10.5,4.1,38.0,78.2,0.065,1.5,38.0,0.065
41,Ethiopia,4.32,63.5,0.128,33.0,67.2,0.021,4.32,33.0,0.021
